name,enabled,n_phases,n_conds,base_freq,terminal1,terminal2,length,units,line_code,geometry
mdv201_da_8_215_b1017348,true,1,1,60,1017350.2,1017348.2,0.1115568,km,,1ph-noneacsr_1/0_6/1noneacsr_1/0_6/1
mdv201_da_8_678_a56764,true,1,1,60,56760.1,56764.1,0.057607198,km,,1ph-al_#2_7strnonenoneacsr_1/0_6/1
mdv201_hn_2_834_b39617,true,1,1,60,39620.2,39617.2,0.056692798,km,,1ph-noneal_1/0_7strnoneacsr_1/0_6/1
mdv201_hn_2_906_a39580,true,1,1,60,39589.1,39580.1,0.019507199,km,,1ph-al_#2_7strnonenoneacsr_1/0_6/1
mdv201_da_8_734_c74440,true,1,1,60,74446.3,74440.3,0.035966399,km,,1ph-nonenoneal_#2_7stracsr_1/0_6/1
mdv201_da_8_157_abc58429,true,3,3,60,58430,58429,0.07955279699999999,km,,3ph_vert_1c-al_336_19stral_336_19stral_336_19stracsr_1/0_6/1
mdv201_hn_2_605_a21655,true,1,1,60,28213.1,21655.1,0.069189598,km,,1ph-al_#2_7strnonenoneacsr_1/0_6/1
mdv201_hn_2_636_ac28249,true,2,2,60,63666.1.3,28249.1.3,0.063093598,km,,2ph_vert_1c-al_1/0_7strnoneal_1/0_7stracsr_1/0_6/1
mdv201_hn_2_705_abc52524,true,3,3,60,105409,52524,0.041452799,km,,3ph_vert_1c-al_4/0_7stral_4/0_7stral_4/0_7stracsr_1/0_6/1
mdv201_da_8_928_a39733,true,1,1,60,74424.1,39733.1,0.073456798,km,,1ph-al_1/0_7strnonenoneacsr_1/0_6/1
